,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago,AgeOfTweet,TweetAgeType
237,taylorswift13,01/12/2018,#EndGameMusicVideo out now. @edsheeran @1future https://t.co/z6EiFsLniY,0.0,0.0,0.0,1.0,63,170,1
238,taylorswift13,01/11/2018,"Tonight at midnight eastern. #EndGameMusicVideo
@1future @edsheeran https://t.co/XHRS02IXfY",0.0,0.0,0.0,1.0,62,171,1
239,taylorswift13,12/24/2017,RT @taylornation13: #TheSwiftLife is now available for Android! Get it on Google Play now: https://t.co/qguJHJ3qPL https://t.co/93evBchcNl,0.4003,0.152,0.0,0.848,61,189,2
240,taylorswift13,12/16/2017,RT @AppStore: .@taylorswift13's first app has arrived—and it’s only on the App Store. (Early reviews are in: Meredith and Olivia give it tw…,0.0,0.0,0.0,1.0,60,196,2
241,taylorswift13,12/13/2017,North American dates on sale now! https://t.co/o8bU3G9HMl https://t.co/4ZV2mczOPt,0.0,0.0,0.0,1.0,59,199,2
242,taylorswift13,12/11/2017,RT @RIAA: Congratulations @taylorswift13. #reputation is 3X Platinum + RIAA’s top certified 2017 album to date! @BigMachine https://t.co/D1…,0.7177,0.285,0.0,0.715,58,201,2
243,taylorswift13,12/11/2017,RT @RIAA: There’s more! Look What You Made Me Do is 3X Platinum + ... Ready For It? is Platinum @taylorswift13! @BigMachine https://t.co/St…,0.4738,0.128,0.0,0.872,57,201,2
244,taylorswift13,12/11/2017,RT @RIAA: #Fearless joins the RIAA 10X Diamond club! @taylorswift13! @BigMachine https://t.co/DSnfIt2Nmc,0.4559,0.213,0.0,0.787,56,201,2
245,taylorswift13,12/07/2017,"RT @taylornation13: 🚗❤️🚨 The perfect road trip song! Watch @taylorswift13 find her “Getaway Car” breakthrough on #TaylorSwiftNOW, only from…",0.6114,0.182,0.0,0.818,55,205,2
246,taylorswift13,12/07/2017,"""...Ready For It?"" (@BloodPop ® Remix) out now - https://t.co/BhnUlUqUD7 https://t.co/rsKdAQzd2q",0.0,0.0,0.0,1.0,54,206,2
247,taylorswift13,12/04/2017,"Thank you @Edward_Enninful, Mert Alas and Marcus Piggott for your passion, spirit and contagious laughter on set.… https://t.co/HTJMTNJlrt",0.7096,0.387,0.167,0.446,53,208,2
248,taylorswift13,12/02/2017,Absolutely stunning. https://t.co/6itJC1bk6W,0.4391,0.591,0.0,0.409,52,211,2
249,taylorswift13,11/30/2017,RT @taylornation13: https://t.co/WWpP1tpRmU,0.0,0.0,0.0,1.0,51,212,2
250,taylorswift13,11/16/2017,This week has been unforgettable. I love you guys. Thanks a million 😉 https://t.co/qjspCA7NJ7,0.7964,0.392,0.0,0.608,50,226,2
251,taylorswift13,11/15/2017,The Making of #Delicate ✨ #reputation #TaylorSwiftNow https://t.co/tn78pMCoVV,0.3182,0.247,0.0,0.753,49,228,2
252,taylorswift13,11/14/2017,#reputaylurking #reputation  ❤️ https://t.co/CbTqn2F6Xs,0.0,0.0,0.0,1.0,48,228,2
253,taylorswift13,11/14/2017,#reputaylurking #reputation  ❤️ https://t.co/JhZNUZ7MxK,0.0,0.0,0.0,1.0,47,228,2
254,taylorswift13,11/14/2017,#reputaylurking #reputation  ❤️ https://t.co/f4135JnNhM,0.0,0.0,0.0,1.0,46,228,2
255,taylorswift13,11/14/2017,#reputaylurking #reputation  ❤️ https://t.co/JtblVbBa5u,0.0,0.0,0.0,1.0,45,228,2
256,taylorswift13,11/14/2017,#reputaylurking #reputation  ❤️ https://t.co/sAtTLVzfw3,0.0,0.0,0.0,1.0,44,228,2
257,taylorswift13,11/14/2017,#reputaylurking #reputation  ❤️ https://t.co/pOEpn6Dk5p,0.0,0.0,0.0,1.0,43,228,2
258,taylorswift13,11/14/2017,#reputaylurking #reputation ❤️ https://t.co/2OV2DvvIyN,0.0,0.0,0.0,1.0,42,228,2
259,taylorswift13,11/14/2017,RT @jimmyfallon: Taylor Swift performs 'New Year's Day' from her new album Reputation #FallonTonight https://t.co/20GPtmFWzf,0.2023,0.114,0.0,0.886,41,228,2
260,taylorswift13,11/13/2017,RT @etnow: Taylor Swift defends her 'reputation' as a great 'SNL' musical guest with 2 epic performances. https://t.co/BGvqX6H1Sn https://t…,0.7096,0.282,0.0,0.718,40,230,2
261,taylorswift13,11/13/2017,RT @people: Taylor Swift Takes SNL Stage with Snake-Shaped Mic In Hand — then Goes Acoustic https://t.co/cnH2ESn93x,0.6124,0.263,0.0,0.737,39,230,2
262,taylorswift13,11/13/2017,RT @Metro_Ents: Taylor Swift slays the first live performances of the Reputation era on #SNL https://t.co/gYKn3UjLBW,0.2023,0.107,0.0,0.893,38,230,2
263,taylorswift13,11/13/2017,RT @usweekly: Taylor Swift slays on 'SNL' and Tiffany Haddish makes history: see the best moments https://t.co/ZdWzK8e3Qj,0.7184,0.286,0.0,0.714,37,230,2
264,taylorswift13,11/13/2017,RT @InStyle: Watch Taylor Swift crush her performances from last night's SNL. https://t.co/7zSCBEerxB,0.0516,0.125,0.111,0.764,36,230,2
265,taylorswift13,11/12/2017,"THANK YOU SO MUCH!! AHHHH!!! PS, I ADORED your CMA performance 👏👏👏 https://t.co/RGEvOTYEhd",0.8374,0.442,0.0,0.558,35,231,2
266,taylorswift13,11/11/2017,"Tonight.

📷: Mary Ellen Matthews https://t.co/mbQdDHz5Dn",0.0,0.0,0.0,1.0,34,231,2
267,taylorswift13,11/11/2017,"My cousins in St. Louis sent this to me. I LOVE YOU @LauraKHettiger
https://t.co/OvC349nq8y",0.7125,0.291,0.0,0.709,33,231,2
268,taylorswift13,11/11/2017,#reputaylurking #reputation ❤️ https://t.co/WPWiwPodY1,0.0,0.0,0.0,1.0,32,231,2
269,taylorswift13,11/11/2017,#reputaylurking #reputation ❤️ https://t.co/hEGz0GQFqc,0.0,0.0,0.0,1.0,31,231,2
270,taylorswift13,11/11/2017,#reputaylurking #reputation ❤️ https://t.co/PRkjzCmoAc,0.0,0.0,0.0,1.0,30,231,2
271,taylorswift13,11/11/2017,#reputaylurking #reputation ❤️ https://t.co/NPcA5WsgVL,0.0,0.0,0.0,1.0,29,231,2
272,taylorswift13,11/11/2017,#reputaylurking #reputation ❤️ https://t.co/hxD5n2KrxW,0.0,0.0,0.0,1.0,28,231,2
273,taylorswift13,11/11/2017,#reputaylurking #reputation ❤️ https://t.co/9n2rvbzXph,0.0,0.0,0.0,1.0,27,231,2
274,taylorswift13,11/11/2017,#reputaylurking #reputation ❤️ https://t.co/K3tUWVvmpd,0.0,0.0,0.0,1.0,26,231,2
275,taylorswift13,11/11/2017,#reputaylurking #reputation ❤️ https://t.co/18sg97Oshp,0.0,0.0,0.0,1.0,25,231,2
276,taylorswift13,11/11/2017,#reputaylurking #reputation ❤️ https://t.co/3p2sIX7WGU,0.0,0.0,0.0,1.0,24,231,2
277,taylorswift13,11/11/2017,#reputaylurking #reputation ❤️ https://t.co/z5HoBkxUQy,0.0,0.0,0.0,1.0,23,231,2
278,taylorswift13,11/11/2017,#reputaylurking #reputation ❤️ https://t.co/O8sznXy3vX,0.0,0.0,0.0,1.0,22,231,2
279,taylorswift13,11/11/2017,#reputaylurking #reputation ❤️ https://t.co/sygCHKoJvu,0.0,0.0,0.0,1.0,21,231,2
280,taylorswift13,11/11/2017,#reputaylurking #reputation ❤️ https://t.co/tDWpcN4MGx,0.0,0.0,0.0,1.0,20,231,2
281,taylorswift13,11/11/2017,#reputaylurking #reputation ❤️ https://t.co/eS6JDjsWuF,0.0,0.0,0.0,1.0,19,231,2
282,taylorswift13,11/11/2017,#reputaylurking #reputation ❤️ https://t.co/rOXGOsBDae,0.0,0.0,0.0,1.0,18,231,2
283,taylorswift13,11/10/2017,RT @babyhaim: give me dress all day everyday....dress dress dress dress yes yes yes yes @taylorswift13 https://t.co/0RfSI1QHpY,0.8689,0.454,0.0,0.546,17,233,2
284,taylorswift13,11/10/2017,"RT @latimes: Taylor Swift's talent remains intact on ""Reputation,"" her most focused, most cohesive album yet https://t.co/9OWWyhLppb https:…",0.7574,0.333,0.0,0.667,16,233,2
285,taylorswift13,11/10/2017,RT @robsheff: good lord I love this album https://t.co/pUVZtUg4t5,0.7964,0.542,0.0,0.458,15,233,2
286,taylorswift13,11/10/2017,#reputation is out now. Let the games begin. https://t.co/oExj2XFGvH https://t.co/GzA6cTEwjf,0.0,0.0,0.0,1.0,14,233,2
287,taylorswift13,11/10/2017,RT @taylornation13: Get an exclusive first listen of ‘New Year’s Day’ at 9:29p ET tonight on @ABC and hang with us as we countdown to #repu…,0.128,0.057,0.0,0.943,13,233,2
288,taylorswift13,11/09/2017,"Waiting for #reputation like...

https://t.co/oExj2XFGvH https://t.co/LCCRtKnQXz",0.0,0.0,0.0,1.0,12,233,2
289,taylorswift13,11/09/2017,ABC tonight during Scandal #reputation #TGIT https://t.co/kOhx1vAXoV,-0.4404,0.0,0.326,0.674,11,233,2
290,taylorswift13,11/09/2017,In NYC for SNL rehearsals. I️ LOVE YOU @littlebigtown and CMAs. https://t.co/3QT7bX6yOe,0.7125,0.31,0.0,0.69,10,234,2
291,taylorswift13,11/09/2017,"RT @GMA: CMA Awards Song of the Year: ""Better Man"" - @taylorswift13 

@CountryMusic #cmaawards2017 #CMAawards https://t.co/QJlUQXHh64",0.7096,0.312,0.0,0.688,9,234,2
292,taylorswift13,11/09/2017,"Two days until #reputation. 
https://t.co/oExj2XFGvH https://t.co/z4bk0thC5c",0.0,0.0,0.0,1.0,8,234,2
293,taylorswift13,11/08/2017,"Three new behind-the-scenes videos available now.

Only on @AppleMusic: https://t.co/nNtHaYzZrp https://t.co/a4E6cNaD3B",0.0,0.0,0.0,1.0,7,234,2
294,taylorswift13,11/08/2017,RT @courtneyforce: Let the games begin! Running a @taylorswift13 FunnyCar w/ @AdvanceAuto &amp; @BigMachine at @NHRA Finals! Taylors #reputatio…,0.0,0.0,0.0,1.0,6,234,2
